title,addr,mapx,mapy
벙글벙글식당,대구광역시 서구 와룡로66길 57,128.5439591,35.86230046
벙글벙글찜갈비,대구광역시 중구 동덕로36길 9-12,128.6051535,35.87100338
베를린 에스프레소 바,대구광역시 달서구 미리샘길 82,128.5444439,35.80773165
벨베꼼메,대구광역시 달성군 세천북로 66,128.4747648,35.87788076
벨빌베이크하우스 팔공산점,대구광역시 동구 파계로 512,128.6309538,35.97785565
벽강물회식당,대구광역시 북구 침산남로 62,128.5827383,35.88940644
별미춘천닭갈비,대구광역시 북구 동암로38길 29-31,128.5671353,35.94395553
보백관 본점,대구광역시 달성군 서재본길 11,128.4957103,35.87200681
보스턴커피,대구광역시 동구 방촌로 58,128.6594455,35.88543886
본가 안동국시 본점,대구광역시 수성구 희망로 216,128.622361,35.84608708
봉산찜갈비,대구광역시 중구 동덕로36길 9-18,128.6051396,35.87121447
부바스 본점,대구광역시 수성구 무학로 152,128.6252056,35.82995562
부부식당,대구광역시 동구 율하동로24길 31,128.705778,35.86966095
부케,대구광역시 중구 경상감영길 213,128.5990012,35.87188373
붐비네,대구광역시 동구 지묘동 522-3,128.6388707,35.94194597
브런치달랏,대구광역시 동구 팔공로 400-6,128.6450676,35.93445249
블루문,대구광역시 동구 파계로 685,128.6345335,35.99408165
비움,대구광역시 북구 침산남로9길 43,128.582216,35.89233943
빌리웍스,대구광역시 북구 고성북로10길 41,128.5885268,35.88318503
사파키친,대구광역시 동구 동부로34길 10,128.6309038,35.87673377
산엘아르카,대구광역시 달성군 유가읍 휴양림길 416,128.4953428,35.70214269
산정논메기매운탕,대구광역시 달성군 다사읍 달구벌대로109길 142-13,128.4405264,35.86645087
산중식당,대구광역시 동구 팔공산로185길 55,128.6944728,35.99019987
산채식당,대구광역시 동구 팔공산로185길 72,128.6934507,35.98879723
살맛나는집,대구광역시 수성구 희망로 137-1,128.6139145,35.84733678
삼백찬가(강북희망협동조합),대구광역시 북구 동천로23길 8,128.5597721,35.94226114
상주식당,대구광역시 중구 국채보상로 598-1,128.5960515,35.87040606
생수정(생수정식당),대구광역시 달성군 가창면 우록3길 58,128.6371493,35.71820181
서민갈비,대구광역시 수성구 들안로 8-5,128.6173341,35.83071928
서민수산회,대구광역시 수성구 달구벌대로641길 7,128.7074703,35.84105033
서울분식,대구광역시 남구 봉덕로 115,128.6034765,35.84507573
석산복어해물,대구광역시 동구 효동로2길 27,128.6513908,35.88108643
성당못빌,대구광역시 남구 성당로 54-5,128.5615192,35.84207808
성주곱창막창,대구광역시 남구 대명로36길 63,128.5746071,35.83647617
센도리,대구광역시 수성구 들안로 38,128.617284,35.83316067
손복자 부산 할매낙지,대구광역시 서구 달구벌대로 1789,128.5604105,35.85920112
손중헌원조논메기매운탕,대구광역시 달성군 다사읍 부곡2길 7-9,128.4456343,35.86715922
수다레스토랑,대구광역시 동구 동화사2길 21-10,128.698353,35.99108873
수반,대구광역시 남구 앞산순환로 391,128.5684994,35.83232931
수봉반점,대구광역시 북구 대현남로2길 60,128.6064281,35.87828592
수수밀소,대구광역시 동구 매여로 320,128.7151094,35.90686525
숨쉬는순두부 본점,대구광역시 수성구 들안로 44,128.6171923,35.83375504
쉬어가는 집,대구광역시 동구 팔공로30길 10,128.6423574,35.91156337
스펠바운드,대구광역시 수성구 용학로 106-5,128.6208395,35.82480612
슬로우스톤,대구광역시 달성군 휴양림길 109,128.4965847,35.68800542
승정원한우,대구광역시 수성구 들안로 73,128.6164145,35.83637696
시지본카페,대구광역시 수성구 노변로 79 (노변동),128.6998044,35.83884766
신등갈비,대구광역시 군위군 치산효령로 1414,128.6607504,36.10368082
신송자 신마산식당,대구광역시 남구 현충로 214,128.5823393,35.85155516
신촌닭불백,대구광역시 수성구 동대구로 237,128.6244356,35.85161705
실비찜갈비,대구광역시 중구 동덕로36길 9-3,128.6047841,35.87067564
싱싱뽈락회,대구광역시 수성구 수성못2길 17,128.6232587,35.82548109
씨레기국수,대구광역시 남구 봉덕남로 59,128.5933136,35.84258694
아눅앞산,대구광역시 남구 앞산순환로 459,128.5752072,35.83230721
아라한참치,대구광역시 수성구 들안로 41,128.616223,35.83346061
아리조나막창,대구광역시 수성구 용학로25길 45,128.6247835,35.82578664
아사다라,대구광역시 수성구 용학로 116-12,128.6210173,35.823959
아트리움,대구광역시 수성구 국채보상로186길 151,128.6339651,35.86156887
안심농장직영식육식당,대구광역시 동구 대경로 1,128.7557345,35.87572508
안지곱창막창,대구광역시 남구 대명로36길 63,128.5745877,35.83641229
앙뜨레누보,대구광역시 수성구 수성못6길 20,128.6241697,35.82731701
앞산 큰골집,대구광역시 남구 큰골길 35,128.5781957,35.83759833
앞산게장,대구광역시 남구 앞산순환로 473,128.5764404,35.83243222
앞산분식,대구광역시 남구 앞산순환로 383-6,128.5678911,35.83248484
앞산울진대게 본점,대구광역시 남구 앞산순환로 559-1,128.5857395,35.83339062
앞산주택,대구광역시 남구 현충로1길 16,128.5776791,35.83366544
애기똥풀,대구광역시 달서구 앞산순환로 195,128.5520817,35.82179964
양곱화,대구광역시 수성구 들안로 80,128.6171533,35.83709078
어랑만두,대구광역시 중구 동덕로 111 (삼덕동2가),128.6028649,35.86476516
엄마밥상 세천점,대구광역시 달성군 세천북로7길 8,128.4772312,35.87730309
에녹커피,대구광역시 동구 아양로 344,128.6454048,35.89458479
"엔엘리오카페, 베이커리, 레스토랑",대구광역시 달성군 비슬로 1137,128.4243482,35.73357395
연경반점,대구광역시 수성구 수성로 222,128.613184,35.84525089
연화식당,대구광역시 군위군 중앙6길 19-1,128.566702,36.24096625
연화정삼계탕,대구광역시 달서구 구마로 116,128.5403684,35.83691161
영남식당,대구광역시 서구 와룡로66길 55-1,128.5438341,35.86224213
영생곱창,대구광역시 남구 대명로36길 64,128.5743655,35.83679002
예원,대구광역시 북구 원대로 119,128.5823855,35.88820935
오늘잡은소 대구칠곡점,대구광역시 북구 구리로 183-8,128.5747262,35.9489551
오르다카페,대구광역시 남구 안지랑로 11,128.5712103,35.83233214
오마모리,대구광역시 남구 대명남로 167,128.5763236,35.83598737
오스테리아밀즈,대구광역시 수성구 동원로1길 26,128.6386703,35.85986637
오퐁드부아,대구광역시 달성군 주리2길 104,128.6184945,35.75246148
온기정,대구광역시 수성구 수성못6길 9,128.6233142,35.82765585
온더레일,대구광역시 달성군 가창로93길 52,128.6431978,35.75541161
옹심이칼국수,대구광역시 달성군 다사읍 다사로 655,128.4946877,35.88730784
와촌손칼국시,대구광역시 남구 대명남로 141,128.5715407,35.83839812
왕거미식당,대구광역시 중구 국채보상로 696-8,128.6067423,35.86855091
용지봉,대구광역시 수성구 들안로 9,128.6161897,35.83061371
우니카트,대구광역시 수성구 범어천로 151-4,128.6220023,35.86051599
우사랑한우마을,대구광역시 군위군 도군로 2645,128.5633466,36.24604616
우연1972,대구광역시 수성구 동대구로38길 33,128.6266078,35.84765087
울진왕돌참가자미회,대구광역시 수성구 청수로3길 5,128.6100538,35.84142349
울진참가자미,대구광역시 수성구 들안로 297,128.6168556,35.85648858
원대덕골민물장어,대구광역시 남구 앞산순환로 409,128.5707076,35.8319405
원조김천식당,대구광역시 남구 중앙대로22길 237,128.6035294,35.84205385
원조아삼겹 본점,대구광역시 수성구 만촌로 105,128.6417253,35.86798496
원조현풍박소선할매집곰탕,대구광역시 달성군 현풍중앙로 56-1 원조현풍할매집곰탕,128.4458057,35.69462597
원주통닭,대구광역시 중구 동성로6길 42-6,128.5975431,35.86843965
월성찜갈비,대구광역시 중구 동덕로36길 9-5,128.6048174,35.87076452
유가제빵소,대구광역시 달성군 테크노중앙대로1길 35,128.4562193,35.67298416
유미정,대구광역시 달서구 수밭길 28,128.5478522,35.79704959
유진찜갈비,대구광역시 중구 동덕로36길 9-13,128.604884,35.87110059
유창반점,대구광역시 중구 명륜로 20,128.5886856,35.86451215
윤옥연할매떡볶이 (구 신천마약할매떡볶이),대구광역시 수성구 들안로77길 11,128.6170526,35.86455989
이가네더덕밥 대구팔공산점,대구광역시 북구 이곡길 35-41,128.6040239,35.93888734
이모식당,대구광역시 중구 서성로13길 9,128.5869134,35.8722779
이상근의삼거리오징어회타운,대구광역시 북구 구암로 280,128.56683,35.93606753
이향,대구광역시 수성구 월드컵로5안길 17-3,128.6798203,35.82964833
인스퍼레이션디 동촌유원지,대구광역시 동구 효동로6길 57,128.6490909,35.88329725
일월정 한정식,대구광역시 달성군 논공읍 논공로 697-5,128.4516903,35.73064422
자연충만,대구광역시 달성군 마비정길 163,128.5334539,35.78288148
전농부의 풀꽃밥상,대구광역시 동구 파계로 497,128.6302566,35.97660855
정담반점,대구광역시 달서구 진천로 11,128.5261788,35.80998384
정미네식당,대구광역시 달성군 가창면 헐티로2길 26,128.5543502,35.74750809
제1국수집,대구광역시 북구 노원로 242,128.5864098,35.9009191
제니아빈,대구광역시 달서구 성서공단로15길 10,128.4908062,35.83587192
제로테이블,대구광역시 수성구 수성로68길 35-8,128.6159418,35.85538868
제일콩국,"대구광역시 중구 남산로6안길 47 (남산동, 로하스남산)",128.5861944,35.85688519
조밀,대구광역시 중구 달구벌대로 2115-2,128.5952184,35.86558715
조조칼국수 본점,대구광역시 수성구 국채보상로 912,128.6304569,35.86637937
조조칼국수 앞산본점,대구광역시 남구 현충로15길 13-1,128.5791594,35.83857324
조조칼국수 월성점,대구광역시 달서구 성서4차첨단로 120,128.51391,35.82522633
중앙떡볶이,대구광역시 중구 동성로2길 81,128.5969626,35.86951451
중화반점,대구광역시 중구 중앙대로 406-12,128.5944267,35.86931727
지산골가마솥국밥,대구광역시 수성구 수성로 232,128.6131729,35.84613412
지오네 키친,대구광역시 남구 현충로 21,128.579429,35.83472646
진미식육식당,대구광역시 서구 달서천로83길 13,128.5780638,35.88313207
진미찌짐,대구광역시 중구 종로 11,128.5921992,35.86697027
진해숯불막창,대구광역시 남구 성당로 272,128.574426,35.8570905
진흥반점,대구광역시 남구 이천로28길 43-2,128.6005293,35.85484679
집밥아미정,대구광역시 북구 유통단지로8길 80,128.6135184,35.90573016
째미핑거,대구광역시 동구 팔공산로 1165-7,128.6927563,35.9888361
쭈꾸미네,대구광역시 동구 효동로6길 43,128.6490604,35.88227236
천연애,대구광역시 달서구 앞산순환로 289,128.5590865,35.82773799
청담동,대구광역시 수성구 만촌로8길 25,128.645964,35.86291894
청담한상,대구광역시 동구 효동로2길 45 (효목동),128.6532156,35.88012268
청도돼지국밥,대구광역시 남구 대봉로 65,128.6038404,35.844748
청송약수삼계탕,대구광역시 서구 서대구로 130,128.5555662,35.86951653
청통한우식육식당,대구광역시 수성구 무학로21길 56,128.6210531,35.83259691
청학식당,대구광역시 남구 봉덕로1길 52-1,128.5914581,35.8478502
초이스엠,대구광역시 동구 팔공산로 260,128.6139493,35.99292862
촉향원,대구광역시 달서구 달구벌대로291길 71-20 (장기동),128.5238361,35.85204292
칠성동할매콩국수,대구광역시 북구 침산남로 40,128.5805301,35.88875925
칭밍,대구광역시 수성구 용학로 106-7,128.6193063,35.82443947
카르멜,대구광역시 달성군 달구벌대로 616,128.4469735,35.85014728
카페 엠엔티,대구광역시 달서구 조암남로14길 52-2,128.5259951,35.82312124
카페 접속,대구광역시 중구 동성로 36-1 (동성로2가),128.5961015,35.87009499
카페공가,대구광역시 달성군 주리1길 52-5,128.6462585,35.75798915
카페담,대구광역시 달성군 유가읍 유가사2길 15,128.5000726,35.71495244
카페댐댐,대구광역시 군위군 삼국유사로 438-16,128.7954574,36.1233061
카페멜트,대구광역시 북구 공항로 89,128.6247981,35.90003657
카페스톤,대구광역시 군위군 한티로 1525-6,128.6307495,36.02991918
카페우즈,대구광역시 군위군 한티로 2036,128.6564717,36.04989517
카펠라,대구광역시 남구 앞산순환로 449,128.5740434,35.83161282
커들포드,대구광역시 동구 팔공로 1334,128.72326,35.95936501
커피로드333/espresso&drip bar,대구광역시 달성군 현풍로 268,128.4711366,35.70093127
커피명가 라핀카,대구광역시 수성구 국채보상로 953-1,128.6349148,35.86766265
커피플라자,대구광역시 남구 앞산순환로87길 49,128.5728713,35.832821
쿄우다이,대구광역시 달서구 월배로46길 72,128.5386442,35.81580841
퀸즈크라운베이커리카페,대구광역시 서구 서대구로 118,128.5556412,35.86854997
큰기와집,대구광역시 동구 서촌로 106,128.6237986,35.9842659
큰나무집,대구광역시 달성군 가창면 우록길 24,128.6595858,35.73367825
큰집식당,대구광역시 북구 학정로 551-23,128.5646436,35.95441819
킹콩갤러리카페,대구광역시 달서구 화암로 322 (대곡동),128.5184185,35.80287061
탑골식당,대구광역시 동구 동화사2길 21-7,128.6980058,35.99127759
태능집,대구광역시 중구 달성로22길 86,128.5867605,35.87439988
트리팜,대구광역시 동구 서촌로 133,128.6217877,35.98592956
티아이티에프,대구광역시 동구 팔공산로 1169,128.6927119,35.98828339
팔공노을,대구광역시 동구 서촌로 98-1,128.6248902,35.98422148
팔공산 닭갈비,대구광역시 동구 파계로 154-8,128.6364291,35.94774527
팔공산맥,대구광역시 북구 칠곡중앙대로 329,128.5470348,35.92532949
팔공산장작구이,대구광역시 동구 서촌로 82,128.6266345,35.98307997
팔공참한우암소마실,대구광역시 동구 팔공로 481,128.6433703,35.94420691
퍼피80,대구광역시 동구 서촌로7길 7-3,128.6283095,35.97910823
포켓,대구광역시 수성구 수성못길 20 (두산동),128.6222643,35.82667816
푸나왈라,대구광역시 수성구 수성못2길 3,128.6223615,35.82592825
푸른회식당,대구광역시 서구 달구벌대로375길 14-1,128.5701512,35.86227595
푸주옥설렁탕,대구광역시 달서구 달구벌대로 1860,128.5682848,35.86058999
피카커피,대구광역시 북구 학정로110길 24-1,128.5671462,35.95246012
하늘천따지 본점,대구광역시 동구 서촌로 129,128.6215905,35.98555182
하롱베이,대구광역시 수성구 무학로 97,128.6191922,35.83029714
하얀집,대구광역시 달성군 가창로155길 9,128.642761,35.7818475
하이브,대구광역시 동구 파계로 653,128.635728,35.98846287
한밤황토집,대구광역시 군위군 한밤8길 46-55,128.6531521,36.06436291
한옥집김치찜,대구광역시 중구 중앙대로 404-3 (남일동),128.5941295,35.86928949
한우오마카세 더우,대구광역시 수성구 들안로64길 49,128.6205191,35.85884393
한우장,대구광역시 중구 국채보상로 567,128.5904436,35.8740361
해금강,대구광역시 동구 신암남로 133,128.6271928,35.88469113
해덕한우,대구광역시 수성구 동대구로 78,128.6246277,35.8371548
헤이마,대구광역시 동구 파계로 583,128.6351283,35.98209969
현짬뽕,대구광역시 남구 대봉로 89,128.6041098,35.84702275
호남원조식당,대구광역시 서구 달구벌대로375길 26-1,128.5710234,35.86300644
호남정 한정식,대구광역시 수성구 들안로 24,128.6170174,35.83203024
호어모아,대구광역시 남구 안지랑로5길 88,128.5654886,35.83310139
호찐빵만두나라,대구광역시 달성군 가창면 가창로 1102,128.6224622,35.80285864
홍구원가창점,대구광역시 달성군 가창로176길 9,128.636628,35.78952429
홍림곱창,대구광역시 남구 대명로36길 58,128.5745432,35.83706777
황토시골집,대구광역시 동구 파계로 604,128.6364003,35.98418836
후꾸스시,대구광역시 수성구 동대구로20길 66,128.6279079,35.83811864
힛또,대구광역시 중구 명덕로 333,128.6063649,35.85583846
161커피스튜디오,대구광역시 달성군 현풍읍 원교리,128.4444948,35.69058196
1997 빠리바닷가재,대구광역시 수성구 용학로 84,128.6188868,35.82589208
24시교동촌콩나물해장국밥,대구광역시 북구 태전로 55,128.5434102,35.92521277
8번식당(7전8기8번식당),대구광역시 중구 서성로13길 8,128.5869134,35.87240011
NOT ONLY COFFEE URBAN DELI,대구광역시 수성구 용학로 106-7,128.6193063,35.82443947
[백년가게]광명반점,대구광역시 북구 칠성로 70-1,128.5969206,35.87915509
[백년가게]밀밭베이커리,대구광역시 중구 국채보상로 602-1,128.5966153,35.87047551
[백년가게]산호찜갈비,대구광역시 중구 동덕로36길 9-9,128.6048757,35.87092005
[백년가게]스미센,대구광역시 동구 동부로30길 15,128.6290707,35.87566163
[백년가게]정화네하우스,대구광역시 북구 칠성남로 216,128.6038062,35.87623332
[백년가게]참깨국수,대구광역시 수성구 무학로31길 55,128.6265887,35.83305252
[백년가게]햇님베이커리,대구광역시 중구 달구벌대로389길 70,128.5758812,35.8663006
